Year,Title,Length,Score,Sales,Genre1,Genre2,Genre3,Genre4,Genre5,Genre6,Genre7
2004,Woman Thou Art Loosed,21,50,6,Drama,0,0,0,0,0,0
2004,Layer Cake,10,70,11,Drama,Thriller,Crime,0,0,0,0
2004,Saw,3,72,103,Horror,Mystery,Crime,0,0,0,0
2004,Ladder 49,9,62,74,Drama,Action,Thriller,0,0,0,0
2004,Primer,6,69,0,Science Fiction,Drama,Thriller,0,0,0,0
2004,Team America: World Police,26,66,50,Music,Adventure,Animation,Action,Comedy,0,0
2004,Fascination,11,38,0,Romance,Thriller,0,0,0,0,0
2004,Shall We Dance?,15,59,170,Drama,Romance,Comedy,0,0,0,0
2004,Eulogy,6,64,0,Comedy,Drama,0,0,0,0,0
2004,Finding Neverland,17,72,116,Drama,0,0,0,0,0,0
2004,Vera Drake,10,68,0,Crime,Drama,0,0,0,0,0
2004,The Grudge,10,58,183,Horror,Mystery,Thriller,0,0,0,0
2004,Sideways,8,69,109,Comedy,Drama,Romance,0,0,0,0
2004,Alfie,5,56,13,Comedy,0,0,0,0,0,0
2004,A Very Long Engagement,22,71,0,Drama,0,0,0,0,0,0
2004,Ray,3,72,124,Drama,Music,0,0,0,0,0
2004,The Incredibles,15,74,631,Action,Adventure,Animation,Family,0,0,0
2004,District B13,12,65,9,Action,Thriller,Science Fiction,0,0,0,0
2004,The Polar Express,17,64,305,Adventure,Animation,Family,Fantasy,0,0,0
2004,Bridget Jones: The Edge of Reason,33,61,40,Comedy,Romance,0,0,0,0,0
2004,Seed of Chucky,14,49,24,Drama,Horror,Comedy,0,0,0,0
2004,Veer-Zaara,10,74,29,Drama,Romance,0,0,0,0,0
2004,After the Sunset,16,60,61,Action,Comedy,Crime,Drama,0,0,0
2004,The SpongeBob SquarePants Movie,31,67,140,Animation,Comedy,Family,0,0,0,0
2004,National Treasure,17,64,347,Adventure,Action,Thriller,Mystery,0,0,0
2004,Howl's Moving Castle,20,82,234,Fantasy,Animation,Adventure,0,0,0,0
2004,Alexander,9,56,167,War,History,Action,Adventure,Drama,Romance,0
2004,Samantha: An American Girl Holiday,34,46,0,Drama,Family,0,0,0,0,0
2004,The Work and the Glory,22,61,3,Drama,Romance,0,0,0,0,0
2004,Christmas with the Kranks,25,52,0,Comedy,Family,0,0,0,0,0
2004,Closer,6,67,115,Drama,Romance,0,0,0,0,0
2004,Agent Cody Banks 2: Destination London,38,52,28,Comedy,0,0,0,0,0,0
2004,The Case of the Grinning Cat,28,77,0,Documentary,0,0,0,0,0,0
2004,The Phantom of the Opera,24,70,154,Thriller,Drama,Romance,0,0,0,0
2004,Blade: Trinity,14,57,128,Science Fiction,Action,Horror,Thriller,Adventure,Fantasy,0
2004,Ocean's Twelve,14,64,362,Thriller,Crime,0,0,0,0,0
2004,The Life Aquatic with Steve Zissou,34,71,34,Adventure,Comedy,Drama,0,0,0,0
2004,Fat Albert,10,43,0,Comedy,Drama,Family,0,0,0,0
2004,Million Dollar Baby,19,77,216,Drama,0,0,0,0,0,0
2004,The Aviator,11,70,102,Drama,0,0,0,0,0,0
2004,Spanglish,9,58,55,Comedy,0,0,0,0,0,0
2004,Incident at Loch Ness,21,59,0,Adventure,Comedy,Horror,0,0,0,0
2004,Flight of the Phoenix,21,57,21,Action,Adventure,Drama,Thriller,0,0,0
2004,Beyond the Sea,14,65,0,Drama,Music,0,0,0,0,0
2004,Meet the Fockers,16,61,516,Comedy,Romance,0,0,0,0,0
2004,In Good Company,15,59,0,Comedy,Drama,Romance,0,0,0,0
2005,This Thing of Ours,18,50,0,Drama,Action,Thriller,0,0,0,0
2005,The Motel,9,70,0,Drama,Comedy,0,0,0,0,0
2005,The Helix... Loaded,19,48,0,Action,Comedy,Science Fiction,0,0,0,0
2005,The Game of Their Lives,23,58,0,Drama,0,0,0,0,0,0
2005,The Call of Cthulhu,19,69,0,Horror,Thriller,Fantasy,0,0,0,0
2005,Dungeons & Dragons: Wrath of the Dragon God,43,48,0,Action,Adventure,Fantasy,0,0,0,0
2005,Racing Stripes,14,51,93,Comedy,0,0,0,0,0,0
2005,Hostel,6,57,80,Horror,0,0,0,0,0,0
2005,White Noise,11,56,91,Drama,Horror,Thriller,0,0,0,0
2005,The Salon,9,35,0,Comedy,0,0,0,0,0,0
2005,Elektra,7,48,56,Action,Fantasy,0,0,0,0,0
2005,Hard Candy,10,68,7,Drama,Thriller,0,0,0,0,0
2005,Coach Carter,12,73,76,Drama,0,0,0,0,0,0
2005,The Hitchhiker's Guide to the Galaxy,36,66,104,Adventure,Comedy,Family,Science Fiction,0,0,0
2005,Rize,4,59,0,Documentary,0,0,0,0,0,0
2005,The Puffy Chair,15,62,0,Drama,Comedy,Romance,0,0,0,0
2005,Assault on Precinct 13,22,60,35,Thriller,0,0,0,0,0,0
2005,Are We There Yet?,17,52,97,Adventure,Comedy,Family,Romance,0,0,0
2005,Dear Wendy,10,56,0,Comedy,Crime,Drama,Romance,0,0,0
2005,Thumbsucker,11,61,1,Comedy,Drama,0,0,0,0,0
2005,The Upside of Anger,19,64,0,Comedy,Drama,0,0,0,0,0
2005,Mirrormask,10,66,0,Fantasy,0,0,0,0,0,0
2005,March of the Penguins,21,69,127,Documentary,Family,0,0,0,0,0
2005,Hide and Seek,13,61,122,Horror,Mystery,Thriller,0,0,0,0
2005,Peace, Propaganda & the Promised Land,37,64,0,Documentary,0,0,0,0,0,0
2005,Alone in the Dark,17,31,10,Action,Fantasy,Horror,Thriller,0,0,0
2005,Imagine Me & You,16,70,2,Drama,Comedy,Romance,0,0,0,0
2005,Unleashed,9,66,50,Action,Crime,0,0,0,0,0
2005,The Wedding Date,16,62,47,Comedy,Romance,0,0,0,0,0
2005,Boogeyman,9,46,67,Thriller,Horror,Drama,Mystery,0,0,0
2005,London,6,61,0,Drama,Action,Romance,0,0,0,0
2005,Hitch,5,64,368,Comedy,Drama,Romance,0,0,0,0
2005,Fateless,8,65,0,War,Drama,0,0,0,0,0
2005,Pooh's Heffalump Movie,22,64,0,Animation,Family,0,0,0,0,0
2005,Inside Deep Throat,18,68,0,History,Documentary,0,0,0,0,0
2005,North Country,13,68,25,Drama,0,0,0,0,0,0
2005,Son of the Mask,15,36,0,Fantasy,Comedy,Family,Adventure,0,0,0
2005,Because of Winn-Dixie,21,61,32,Comedy,Drama,Family,0,0,0,0
2005,Man of the House,16,54,0,Comedy,Action,0,0,0,0,0
2005,Diary of a Mad Black Woman,26,64,0,Comedy,Drama,Romance,0,0,0,0
2005,Cursed,6,51,19,Horror,Comedy,0,0,0,0,0
2005,Mutual Appreciation,19,61,0,Drama,Comedy,0,0,0,0,0
2005,The Pacifier,12,58,113,Action,Comedy,Drama,Family,Thriller,0,0
2005,The Jacket,10,68,21,Drama,Mystery,Thriller,Fantasy,0,0,0
2005,My Big Fat Independent Movie,28,30,0,Comedy,0,0,0,0,0,0
2005,Be Cool,7,54,95,Comedy,Crime,0,0,0,0,0
2005,Hostage,7,62,77,Mystery,Drama,Thriller,Crime,0,0,0
2005,Robots,6,60,260,Animation,Comedy,Family,Science Fiction,0,0,0
2005,The Dark Hours,14,55,0,Horror,Science Fiction,Thriller,0,0,0,0
2005,Miss Congeniality 2: Armed and Fabulous,39,53,0,Action,Comedy,0,0,0,0,0
2005,Cavite,6,75,0,Foreign,Thriller,0,0,0,0,0
2005,The Ring Two,12,54,161,Drama,Horror,Thriller,0,0,0,0
2005,Ice Princess,12,59,27,Drama,Comedy,Family,0,0,0,0
2005,Star Wars: Clone Wars: Volume 1,31,80,0,Action,Adventure,Animation,Fantasy,Science Fiction,0,0
2005,Valiant,7,52,19,Animation,Family,Adventure,0,0,0,0
2005,The Ballad of Jack and Rose,27,65,0,Drama,0,0,0,0,0,0
2005,Guess Who,9,55,68,Comedy,Romance,0,0,0,0,0
2005,Sin City,8,72,158,Action,Thriller,Crime,0,0,0,0
2005,Sahara,6,57,119,Action,Adventure,Comedy,Drama,Mystery,0,0
2005,Fever Pitch,11,59,50,Comedy,Drama,Romance,0,0,0,0
2005,The Interpreter,15,62,162,Crime,Thriller,0,0,0,0,0
2005,The Amityville Horror,21,60,108,Horror,Thriller,Drama,0,0,0,0
2005,House of D,10,61,0,Comedy,Drama,0,0,0,0,0
2005,King's Ransom,13,51,0,Comedy,Crime,0,0,0,0,0
2005,Duma,4,69,0,Adventure,Drama,Family,0,0,0,0
2005,Chicken Tikka Masala,20,35,0,Comedy,Romance,Foreign,0,0,0,0
2005,A Lot Like Love,15,65,42,Comedy,0,0,0,0,0,0
2005,xXx: State of the Union,23,47,71,Action,Adventure,Crime,Drama,Mystery,Thriller,0
2005,House of Wax,12,55,68,Horror,0,0,0,0,0,0
2005,Kingdom of Heaven,17,66,211,Drama,Action,Adventure,History,War,0,0
2005,An American Haunting,20,53,0,Horror,Thriller,0,0,0,0,0
2005,Fighting Tommy Riley,20,53,0,Action,Adventure,Drama,0,0,0,0
2005,The Matador,11,62,17,Action,Comedy,Crime,Drama,Thriller,0,0
2005,The House of Sand,17,67,0,Drama,0,0,0,0,0,0
2005,Monster-in-Law,14,56,154,Romance,Comedy,0,0,0,0,0
2005,Mad Hot Ballroom,16,72,0,Documentary,Family,0,0,0,0,0
2005,Kicking & Screaming,19,56,56,Romance,Comedy,Family,0,0,0,0
2005,Down in the Valley,18,59,0,Drama,Romance,0,0,0,0,0
2005,A Sound of Thunder,18,48,5,Thriller,Science Fiction,Adventure,Action,0,0,0
2005,Manderlay,9,69,0,Drama,0,0,0,0,0,0
2005,Star Wars: Episode III - Revenge of the Sith,44,71,850,Science Fiction,Adventure,Action,0,0,0,0
2005,The Longest Yard,16,62,190,Comedy,Drama,0,0,0,0,0
2005,Madagascar,10,66,532,Family,Animation,0,0,0,0,0
2005,The Sisterhood of the Traveling Pants,37,63,39,Drama,Comedy,0,0,0,0,0
2005,Cinderella Man,14,73,108,Romance,Drama,History,0,0,0,0
2005,Beauty Shop,11,54,36,Comedy,Romance,0,0,0,0,0
2005,Lords of Dogtown,16,70,13,Drama,0,0,0,0,0,0
2005,Goal!: The Dream Begins,23,66,27,Drama,0,0,0,0,0,0
2005,Mr. & Mrs. Smith,16,65,478,Action,Comedy,Drama,Thriller,0,0,0
2005,The Chumscrubber,16,67,0,Comedy,Drama,0,0,0,0,0
2005,The Adventures of Sharkboy and Lavagirl,39,44,69,Adventure,Family,Science Fiction,0,0,0,0
2005,Batman Begins,13,75,374,Action,Crime,Drama,0,0,0,0
2005,The Perfect Man,15,55,0,Comedy,Drama,Family,Romance,0,0,0
2005,Me and You and Everyone We Know,31,70,0,Comedy,Drama,0,0,0,0,0
2005,Herbie Fully Loaded,19,51,66,Comedy,Family,Adventure,Fantasy,Romance,0,0
2005,Land of the Dead,16,60,46,Horror,0,0,0,0,0,0
2005,Dark Water,10,53,25,Drama,Horror,Thriller,0,0,0,0
2005,War of the Worlds,17,62,591,Adventure,Thriller,Science Fiction,0,0,0,0
2005,The Descent,11,68,0,Adventure,Horror,0,0,0,0,0
2005,Charlie and the Chocolate Factory,33,67,474,Adventure,Comedy,Family,Fantasy,0,0,0
2005,Nomad: The Warrior,18,43,0,Action,History,War,0,0,0,0
2005,A Cock and Bull Story,21,62,0,Comedy,Drama,0,0,0,0,0
2005,The Island,10,65,162,Action,Thriller,Science Fiction,Adventure,0,0,0
2005,Must Love Dogs,14,58,58,Comedy,Romance,0,0,0,0,0
2005,The Devil's Rejects,19,66,0,Drama,Horror,Crime,0,0,0,0
2005,Murderball,10,69,1,Documentary,0,0,0,0,0,0
2005,Hustle & Flow,13,69,23,Drama,0,0,0,0,0,0
2005,Stealth,7,49,76,Action,0,0,0,0,0,0
2005,The Skeleton Key,16,64,91,Drama,Horror,Mystery,Thriller,0,0,0
2005,Sympathy for Lady Vengeance,27,74,23,Drama,Thriller,0,0,0,0,0
2005,Sky High,8,58,86,Adventure,Comedy,Family,0,0,0,0
2005,Transporter 2,13,62,85,Action,Thriller,Crime,0,0,0,0
2005,The Wendell Baker Story,23,52,0,Comedy,Drama,Romance,0,0,0,0
2005,Red Eye,7,62,57,Horror,Thriller,0,0,0,0,0
2005,Yes,3,59,0,Drama,Romance,0,0,0,0,0
2005,The Dukes of Hazzard,20,51,110,Action,Adventure,Comedy,0,0,0,0
2005,My Date with Drew,17,63,0,Documentary,0,0,0,0,0,0
2005,Boynton Beach Club,18,68,0,Comedy,Drama,Romance,0,0,0,0
2005,Deuce Bigalow: European Gigolo,30,47,22,Comedy,0,0,0,0,0,0
2005,The Protector,13,68,27,Action,Crime,Drama,Thriller,0,0,0
2005,The 40 Year Old Virgin,22,62,109,Comedy,Romance,0,0,0,0,0
2005,Four Brothers,13,67,92,Action,Crime,0,0,0,0,0
2005,The Great Raid,14,68,10,Action,History,War,0,0,0,0
2005,Supercross,10,54,3,Action,Adventure,Drama,Romance,0,0,0
2005,Wah-Wah,7,63,0,Drama,0,0,0,0,0,0
2005,Tsotsi,6,69,9,Crime,Drama,0,0,0,0,0
2005,The Cave,8,51,15,Action,Adventure,Horror,Thriller,0,0,0
2005,Serenity,8,74,38,Science Fiction,Action,Adventure,Thriller,0,0,0
2005,Undiscovered,12,45,1,Comedy,Romance,0,0,0,0,0
2005,The Brothers Grimm,18,56,105,Adventure,Fantasy,Action,Comedy,Thriller,0,0
2005,The Constant Gardener,21,68,82,Drama,Mystery,Thriller,0,0,0,0
2005,Edmond,6,60,0,Drama,Thriller,0,0,0,0,0
2005,Trust the Man,13,55,0,Comedy,Drama,Romance,0,0,0,0
2005,Underclassman,13,55,0,Action,Comedy,0,0,0,0,0
2005,Brokeback Mountain,18,75,178,Drama,Romance,0,0,0,0,0
2005,The Lost City,13,60,4,Drama,Romance,0,0,0,0,0
2005,Sisters in Law,14,73,0,Documentary,0,0,0,0,0,0
2005,The Curse of the Were-Rabbit,28,68,192,Adventure,Animation,Comedy,Family,0,0,0
2005,Thank You for Smoking,21,71,24,Comedy,Drama,0,0,0,0,0
2005,Kiss Kiss Bang Bang,19,72,15,Action,Comedy,Crime,Mystery,0,0,0
2005,Water,5,68,10,Drama,Foreign,Romance,0,0,0,0
2005,The Man,7,54,12,Action,Comedy,Crime,0,0,0,0
2005,The Exorcism of Emily Rose,26,63,144,Crime,Drama,Horror,Thriller,0,0,0
2005,Mrs Henderson Presents,22,64,0,Comedy,Drama,0,0,0,0,0
2005,Corpse Bride,12,72,117,Romance,Fantasy,Animation,Music,0,0,0
2005,An Unfinished Life,18,67,18,Drama,0,0,0,0,0,0
2005,Dreamer: Inspired By a True Story,33,63,0,Drama,Family,0,0,0,0,0
2005,Harsh Times,11,63,5,Crime,Drama,Thriller,Action,0,0,0
2005,The Quiet,9,61,0,Drama,Thriller,0,0,0,0,0
2005,Slow Burn,9,55,1,Mystery,Crime,Drama,Thriller,0,0,0
2005,Dave Chappelle's Block Party,28,64,11,Comedy,Documentary,Music,0,0,0,0
2005,Walk the Line,13,73,186,Drama,Music,Romance,0,0,0,0
2005,Romance & Cigarettes,20,60,2,Comedy,Music,Romance,0,0,0,0
2005,Pride & Prejudice,17,77,121,Drama,Romance,0,0,0,0,0
2005,Lord of War,11,70,24,Crime,Drama,Thriller,0,0,0,0
2005,Just Like Heaven,16,65,102,Comedy,Fantasy,Romance,0,0,0,0
2005,Good Night, and Good Luck.,26,68,54,Drama,History,0,0,0,0,0
2005,Cry_Wolf,8,56,10,Horror,Thriller,0,0,0,0,0
2005,Chocolate: Deep Dark Secrets,28,34,0,Thriller,0,0,0,0,0,0
2005,Flightplan,10,61,223,Thriller,Drama,Mystery,0,0,0,0
2005,Domino,6,60,22,Action,Crime,0,0,0,0,0
2005,Roll Bounce,11,61,0,Comedy,Drama,Family,0,0,0,0
2005,Oliver Twist,12,67,42,Crime,Drama,Family,0,0,0,0
2005,A History of Violence,21,69,60,Drama,Thriller,Crime,0,0,0,0
2005,The Greatest Game Ever Played,29,69,15,Drama,Family,0,0,0,0,0
2005,Into the Blue,13,58,44,Action,Thriller,Adventure,Crime,0,0,0
2005,Capote,6,68,49,Crime,Drama,0,0,0,0,0
2005,Fetching Cody,13,68,0,Comedy,Drama,Fantasy,Romance,Science Fiction,0,0
2005,The Squid and the Whale,23,69,11,Comedy,Drama,0,0,0,0,0
2005,The Proposition,15,71,5,Action,Adventure,Crime,Drama,Thriller,Western,0
2005,Elizabethtown,13,61,52,Comedy,Drama,Romance,0,0,0,0
2005,Where the Truth Lies,20,59,0,Drama,Mystery,Thriller,0,0,0,0
2005,Waiting...,10,62,18,Comedy,0,0,0,0,0,0
2005,The World's Fastest Indian,26,73,0,Drama,0,0,0,0,0,0
2005,Camping Sauvage,15,48,0,Drama,Romance,0,0,0,0,0
2005,Feast,5,61,0,Action,Comedy,Horror,0,0,0,0
2005,The Weather Man,15,60,12,Comedy,Drama,0,0,0,0,0
2005,Doom,4,50,55,Adventure,Action,Horror,0,0,0,0
2005,The Work and the Glory II: American Zion,40,80,2,Drama,0,0,0,0,0,0
2005,The Californians,16,40,0,Drama,Comedy,0,0,0,0,0
2005,Shopgirl,8,57,11,Comedy,Drama,Romance,0,0,0,0
2005,Nanny McPhee,12,64,122,Fantasy,Comedy,Family,0,0,0,0
2005,BloodRayne,10,35,2,Action,Adventure,Fantasy,Horror,0,0,0
2005,The Legend of Zorro,19,59,142,Action,Adventure,0,0,0,0,0
2005,The Rocket: The Legend of Rocket Richard,40,61,2,Drama,0,0,0,0,0,0
2005,Match Point,11,73,85,Drama,Thriller,Crime,Romance,0,0,0
2005,Saw II,6,63,152,Horror,0,0,0,0,0,0
2005,The White Countess,18,69,0,Drama,History,Family,Romance,0,0,0
2005,Wal-Mart: The High Cost of Low Price,36,69,0,Documentary,0,0,0,0,0,0
2005,Jarhead,7,66,96,Drama,War,0,0,0,0,0
2005,Chicken Little,14,56,314,Animation,Family,Comedy,0,0,0,0
2005,Harry Potter and the Goblet of Fire,35,75,895,Adventure,Fantasy,Family,0,0,0,0
2005,Zathura: A Space Adventure,26,61,64,Family,Fantasy,Science Fiction,Adventure,0,0,0
2005,Joyeux Noël,12,72,17,Romance,Drama,History,War,Music,0,0
2005,Get Rich or Die Tryin',22,63,46,Drama,0,0,0,0,0,0
2005,Derailed,8,61,57,Drama,Thriller,0,0,0,0,0
2005,Lonesome Jim,12,64,0,Comedy,Drama,Romance,0,0,0,0
2005,The Three Burials of Melquiades Estrada,39,70,12,Adventure,Crime,Drama,Mystery,Western,0,0
2005,Syriana,7,63,94,Drama,Thriller,0,0,0,0,0
2005,Rent,4,67,31,Drama,Romance,0,0,0,0,0
2005,Æon Flux,9,54,52,Action,Science Fiction,0,0,0,0,0
2005,End of the Spear,16,61,0,Adventure,Drama,0,0,0,0,0
2005,Memoirs of a Geisha,19,73,162,Drama,History,Romance,0,0,0,0
2005,The Chronicles of Narnia: The Lion, the Witch and the Wardrobe,62,67,748,Adventure,Family,Fantasy,0,0,0,0
2005,Forty Shades of Blue,20,60,0,Drama,Romance,0,0,0,0,0
2005,Neal 'n' Nikki,14,23,0,Comedy,Romance,0,0,0,0,0
2005,The Family Stone,16,62,0,Comedy,Drama,Romance,0,0,0,0
2005,King Kong,9,66,550,Adventure,Drama,Action,0,0,0,0
2005,The Promise,11,50,0,Fantasy,Drama,Action,Thriller,Romance,0,0
2005,Hoodwinked!,11,59,51,Animation,Comedy,Family,0,0,0,0
2005,Fun with Dick and Jane,22,59,202,Comedy,0,0,0,0,0,0
2005,Cheaper by the Dozen 2,22,57,129,Comedy,0,0,0,0,0,0
2005,Munich,6,69,130,Drama,Action,History,Thriller,0,0,0
2005,Transamerica,12,69,13,Drama,0,0,0,0,0,0
2005,The Producers,13,61,38,Comedy,Music,0,0,0,0,0
2005,The New World,13,64,30,Drama,History,Romance,0,0,0,0
2006,Phat Girlz,10,37,0,Comedy,Romance,0,0,0,0,0
2006,Once in a Lifetime: The Extraordinary Story of the New York Co,62,47,0,Documentary,0,0,0,0,0,0
2006,Old Joy,7,63,0,Drama,0,0,0,0,0,0
2006,Little Big Top,14,100,0,Comedy,0,0,0,0,0,0
2006,Lage Raho Munna Bhai,20,76,0,Comedy,Drama,Romance,0,0,0,0
2006,Jimmy and Judy,14,54,0,Action,Crime,Drama,Thriller,0,0,0
2006,Iraq for Sale: The War Profiteers,33,80,0,Documentary,0,0,0,0,0,0
2006,Ira & Abby,10,58,0,Comedy,Romance,0,0,0,0,0
2006,I Want Someone to Eat Cheese With,33,57,0,Comedy,Romance,0,0,0,0,0
2006,Crazy Stone,11,69,0,Action,Comedy,0,0,0,0,0
2006,Running Scared,14,70,9,Action,Crime,Drama,Thriller,0,0,0
2006,Grandma's Boy,13,66,6,Comedy,0,0,0,0,0,0
2006,Come Early Morning,18,59,0,Drama,Romance,0,0,0,0,0
2006,Underworld: Evolution,21,64,111,Fantasy,Action,Science Fiction,Thriller,0,0,0
2006,Last Holiday,12,64,38,Adventure,Comedy,Drama,0,0,0,0
2006,Glory Road,10,72,42,Drama,0,0,0,0,0,0
2006,The Pink Panther,16,56,0,Action,Comedy,Crime,Mystery,Family,0,0
2006,Bandidas,8,58,10,Action,Comedy,Western,Crime,0,0,0
2006,High School Musical,19,61,0,Comedy,Drama,Family,Music,TV Movie,0,0
2006,Wristcutters: A Love Story,26,67,0,Comedy,Drama,Fantasy,Romance,0,0,0
2006,An Inconvenient Truth,21,67,46,Documentary,0,0,0,0,0,0
2006,Rang De Basanti,15,72,11,Drama,0,0,0,0,0,0
2006,Big Momma's House 2,19,54,138,Comedy,Crime,0,0,0,0,0
2006,Special,7,66,0,Drama,Fantasy,Science Fiction,0,0,0,0
2006,When a Stranger Calls,21,54,66,Horror,Thriller,0,0,0,0,0
2006,Valley of the Wolves: Iraq,26,43,0,Adventure,Drama,Action,0,0,0,0
2006,Winter Passing,14,67,0,Comedy,Drama,0,0,0,0,0
2006,Firewall,8,56,82,Thriller,0,0,0,0,0,0
2006,Final Destination 3,19,58,117,Horror,Mystery,0,0,0,0,0
2006,Curious George,14,62,69,Adventure,Animation,Comedy,Family,0,0,0
2006,The Night Listener,18,55,0,Drama,Thriller,0,0,0,0,0
2006,Eight Below,11,67,120,Adventure,Drama,Family,0,0,0,0
2006,Date Movie,10,36,48,Comedy,0,0,0,0,0,0
2006,10th & Wolf,11,63,0,Action,Crime,Drama,Mystery,Thriller,0,0
2006,Journey from the Fall,21,50,0,Drama,0,0,0,0,0,0
2006,Madea's Family Reunion,22,60,57,Drama,Comedy,Romance,0,0,0,0
2006,Lucky Number Slevin,19,74,56,Drama,Thriller,Crime,Mystery,0,0,0
2006,Doogal,6,32,0,Family,0,0,0,0,0,0
2006,16 Blocks,9,62,65,Action,Adventure,Crime,Thriller,0,0,0
2006,Ultraviolet,11,48,31,Science Fiction,Action,Thriller,0,0,0,0
2006,Aquamarine,10,58,23,Fantasy,Romance,Family,Comedy,0,0,0
2006,American Dreamz,15,49,7,Comedy,Drama,Family,0,0,0,0
2006,Loving Annabelle,16,64,0,Drama,Romance,0,0,0,0,0
2006,The Shaggy Dog,14,45,61,Comedy,Family,0,0,0,0,0
2006,The Hills Have Eyes,19,61,69,Horror,Thriller,0,0,0,0,0
2006,Failure to Launch,17,55,88,Comedy,0,0,0,0,0,0
2006,V for Vendetta,14,77,132,Action,Thriller,Fantasy,0,0,0,0
2006,The Lives of Others,19,79,70,Drama,Thriller,0,0,0,0,0
2006,Volver,6,73,85,Comedy,Drama,Romance,0,0,0,0
2006,Renaissance,11,67,1,Action,Animation,Science Fiction,0,0,0,0
2006,Find Me Guilty,14,65,2,Drama,Action,Comedy,Crime,0,0,0
2006,Take the Lead,13,66,34,Music,0,0,0,0,0,0
2006,She's the Man,13,64,33,Comedy,Drama,Family,Romance,0,0,0
2006,Inside Man,10,73,184,Crime,Drama,Thriller,0,0,0,0
2006,Ice Age: The Meltdown,21,65,660,Animation,Family,Comedy,Adventure,0,0,0
2006,Stay Alive,10,53,27,Horror,Thriller,0,0,0,0,0
2006,Larry the Cable Guy: Health Inspector,37,33,0,Comedy,0,0,0,0,0,0
2006,Basic Instinct 2,16,46,38,Crime,Mystery,Thriller,0,0,0,0
2006,The Oh in Ohio,14,58,0,Comedy,Drama,Romance,0,0,0,0
2006,Peaceful Warrior,16,73,0,Drama,Romance,0,0,0,0,0
2006,Slither,7,63,0,Comedy,Horror,Science Fiction,0,0,0,0
2006,ATL,3,60,21,Drama,0,0,0,0,0,0
2006,The Benchwarmers,16,52,0,Comedy,0,0,0,0,0,0
2006,Scary Movie 4,13,53,178,Comedy,0,0,0,0,0,0
2006,The Sentinel,12,58,77,Action,Thriller,Crime,0,0,0,0
2006,Stick It,8,63,0,Comedy,Drama,0,0,0,0,0
2006,Silent Hill,11,63,97,Horror,Mystery,0,0,0,0,0
2006,In Her Line of Fire,19,33,0,Drama,Action,Thriller,0,0,0,0
2006,Over the Hedge,14,63,343,Comedy,Animation,Family,0,0,0,0
2006,Valley of the Heart's Delight,29,70,0,Drama,0,0,0,0,0,0
2006,Hatchet,7,57,0,Comedy,Horror,0,0,0,0,0
2006,United 93,9,69,76,Drama,History,Crime,Thriller,Action,0,0
2006,Alone With Her,14,62,0,Crime,Drama,Romance,Thriller,0,0,0
2006,Akeelah and the Bee,19,67,18,Drama,0,0,0,0,0,0
2006,Driving Lessons,15,63,0,Drama,Comedy,0,0,0,0,0
2006,Mission: Impossible III,23,65,397,Adventure,Action,Thriller,0,0,0,0
2006,Hoot,4,55,0,Drama,Family,0,0,0,0,0
2006,Poseidon,8,55,181,Adventure,Action,Drama,Thriller,0,0,0
2006,Keeping Up with the Steins,26,52,0,Comedy,0,0,0,0,0,0
2006,Just My Luck,12,58,38,Comedy,Drama,Family,Fantasy,Romance,0,0
2006,Southland Tales,15,52,0,Action,Adventure,Comedy,Drama,Science Fiction,Thriller,0
2006,Paris, je t'aime,16,68,4,Drama,Romance,0,0,0,0,0
2006,The Pet,7,53,0,Drama,Thriller,0,0,0,0,0
2006,The Da Vinci Code,17,65,767,Thriller,Mystery,0,0,0,0,0
2006,The Wind That Shakes the Barley,31,71,22,Drama,History,War,0,0,0,0
2006,Severance,9,64,0,Horror,Comedy,Thriller,0,0,0,0
2006,Shortbus,8,63,5,Romance,Drama,Comedy,0,0,0,0
2006,X-Men: The Last Stand,21,63,459,Adventure,Action,Science Fiction,Thriller,0,0,0
2006,Marie Antoinette,16,65,60,Drama,History,0,0,0,0,0
2006,Clerks II,9,69,26,Comedy,0,0,0,0,0,0
2006,A Scanner Darkly,16,68,7,Animation,Science Fiction,Thriller,0,0,0,0
2006,Pan's Labyrinth,15,76,83,Fantasy,Drama,War,0,0,0,0
2006,The Break-Up,12,56,204,Romance,Comedy,0,0,0,0,0
2006,The Fast and the Furious: Tokyo Drift,37,61,158,Action,Crime,Drama,Thriller,0,0,0
2006,Quinceañera,12,70,0,Drama,0,0,0,0,0,0
2006,The Bubble,10,76,0,Drama,Romance,0,0,0,0,0
2006,Conversations with Other Women,30,62,0,Drama,Romance,0,0,0,0,0
2006,Cars,4,66,461,Animation,Adventure,Comedy,Family,0,0,0
2006,A Prairie Home Companion,24,64,0,Drama,Comedy,Music,0,0,0,0
2006,Garfield: A Tail of Two Kitties,31,51,141,Animation,Comedy,Family,0,0,0,0
2006,The Lake House,14,65,114,Romance,Drama,Mystery,0,0,0,0
2006,Nacho Libre,11,56,80,Comedy,Family,0,0,0,0,0
2006,Pirates of the Caribbean: Dead Man's Chest,42,70,1065,Adventure,Fantasy,Action,0,0,0,0
2006,My Super Ex-Girlfriend,22,48,60,Fantasy,Drama,Action,Comedy,Crime,Science Fiction,0
2006,Click,5,60,237,Comedy,Drama,Fantasy,Romance,0,0,0
2006,Krrish,6,55,0,Action,Science Fiction,0,0,0,0,0
2006,Wordplay,8,73,0,Documentary,0,0,0,0,0,0
